FILES CHECKED,SERVER
CME_NYMEX_47_ESET_20180712022044397.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_PE_ESET_20180712021951418.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_EB_ESET_20180712023117725.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_NOB_ESET_20180712012937709.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_7L_ESET_20180712021412146.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_UF_ESET_20180712012937975.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MP_ESET_20180712030722668.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_8K_ESET_20180712013507467.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_7Q_ESET_20180712021449818.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_NF_ESET_20180712022110881.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MJP_ESET_2018071201321527.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_1N_ESET_20180712011412906.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_NPG_ESET_20180712012944444.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_RK_ESET_20180712011410611.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_UB_ESET_20180712011421322.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_SI_ESET_20180712021313348.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_PD_ESET_20180712013209852.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_QP_ESET_20180712011431472.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_EB_ESET_20180712013752950.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MSG_ESET_20180712013355297.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_BR_ESET_20180712011733624.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_CSC_ESET_20180712022120712.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_CIL_ESET_20180712011532979.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_LY_ESET_20180712011506585.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_ET_ESET_20180712021502998.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_JM_ESET_20180712021737719.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_UN_ESET_20180712011727449.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_GA_ESET_20180712011718811.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_0D_ESET_20180712021412326.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_YX_ESET_20180712011420516.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_UJ_ESET_20180712022013813.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_BK_ESET_20180712011521328.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_FK_ESET_20180712011412866.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_CSW_ESET_20180712013827360.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_38_ESET_20180712011422674.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_8X_ESET_20180712021737782.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_3G_ESET_20180712021455562.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_HTT_ESET_20180712014042177.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_91_ESET_20180712021503477.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_4P_ESET_20180712021733641.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_7H_ESET_20180712011520314.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_ED_ESET_20180712013907171.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_CSN_ESET_20180712012940834.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_A6_ESET_20180712011534672.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_D0_ESET_20180712021940305.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_PGP_ESET_20180712011548678.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_KS_ESET_201807120219433.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MB_ESET_20180712013744213.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_ME_ESET_20180712013211799.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_VL_ESET_20180712013804774.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_PL_ESET_20180712021314542.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_1R_ESET_20180712013405279.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_RBB_ESET_20180712021314846.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_UA_ESET_20180712013501715.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_F2_ESET_20180712021733423.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_1W_ESET_20180712013900581.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_MKC_ESET_20180712012940694.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_D8_ESET_20180712022049424.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_BO_ESET_20180712011551914.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_RM_ESET_20180712011420893.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_FF_ESET_20180712011743686.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_EDP_ESET_2018071201315249.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_AUP_ESET_20180712013947805.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_D7_ESET_20180712021730563.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_FH_ESET_20180712011522613.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_TP_ESET_20180712011412973.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_EN_ESET_20180712021451334.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_RVG_ESET_20180712013739454.xml,//10.0.9.91/gdmx/loaderGdmx/
